headquarter,stock_count
Beverly; Massachusetts,1
Boise; Idaho,1
Bolingbrook; Illinois,1
Brentwood; Tennessee,1
Bridgeport; Connecticut,1
Brookfield; Wisconsin,1
Buffalo; New York,1
Burbank; California,1
Burlington; North Carolina,1
Camden; New Jersey,1
Carthage; Missouri,1
Cayce; South Carolina,1
Cedar Rapids; Iowa,1
Chandler; Arizona,1
Chattanooga; Tennessee,1
Chesapeake; Virginia,1
Cheshire; Connecticut,1
Chesterbrook; Pennsylvania,1
Columbus; Indiana,1
Cool Valley; Missouri,1
Cork; Ireland,1
Corning; New York,1
Corona; California,1
Creve Coeur; Missouri,1
Cupertino; California,1
Curaçao; Kingdom of the Netherlands,1
Danbury; Connecticut,1
Dearborn; Michigan,1
Decatur; Illinois,1
Des Moines; Iowa,1
Downers Grove; Illinois,1
Dublin; Ohio,1
Dulles; Virginia,1
Eden Prairie; Minnesota,1
El Dorado; Arkansas,1
El Segundo; California,1
Elmwood Park; New Jersey,1
Englewood; Colorado,1
Everett; Washington,1
Ewing; New Jersey,1
Fairfield; Connecticut,1
Fairfield; Ohio,1
Federal Way; Washington,1
Ferguson; Missouri,1
Findlay; Ohio,1
Florham Park; New Jersey,1
Foster City; California,1
Franklin Lakes; New Jersey,1
Fremont; California,1
Gillingham; Kent; United Kingdom,1
Golden Valley; Minnesota,1
Goodlettsville; Tennessee,1
Harrison; New York,1
Hershey; Pennsylvania,1
Highlands Ranch; Colorado,1
Houston; Texas[6],1
Islandia; New York,1
Issaquah; Washington,1
Itasca; Illinois,1
Jackson; Michigan,1
Jersey City; New Jersey,1
Juno Beach; Florida,1
Kalamazoo; Michigan,1
Kenosha; Wisconsin,1
King of Prussia; Pennsylvania,1
Kingsport; Tennessee,1
Las Vegas; Nevada,1
Long Beach; California,1
Los Gatos; California,1
Lowell; Arkansas,1
Madison; New Jersey,1
Madison; Wisconsin,1
Marlborough; Massachusetts,1
Marlborough; Massachusetts[4],1
Mason; Ohio,1
Mayfield Village; Ohio,1
McKinney; Texas,1
McLean; Virginia,1
Melbourne; Florida,1
Menomonee Falls; Wisconsin,1
Merrillville; Indiana,1
Miamisburg; Ohio,1
Midland; Michigan,1
Midland; Texas,1
Milford; Massachusetts,1
Minnetonka; Minnesota,1
Moline; Illinois,1
Monroe; Louisiana,1
Mooresville; North Carolina,1
Morristown; New Jersey,1
Murray Hill; New Jersey,1
New Britain; Connecticut,1
New Brunswick; New Jersey,1
New Hyde Park; New York,1
New Orleans; Louisiana,1
New York; NY,1
Newark; Delaware,1
Newton; Massachusetts,1
Norfolk; Virginia,1
North Kansas City; Missouri,1
Northfield Township; Illinois,1
Northfield; Illinois,1
Norwood; Massachusetts,1
Oak Brook; Illinois,1
Oakland; California,1
Orlando; Florida,1
Orrville; Ohio,1
Parsippany; New Jersey,1
Pasadena; California,1
Pawtucket; Rhode Island,1
Penfield; New York,1
Peoria; Illinois,1
Plymouth; Minnesota,1
Princeton; New Jersey,1
Purchase; New York,1
Radnor; Pennsylvania,1
Redmond; Washington,1
Redwood Shores; California,1
Richfield; Minnesota,1
Riverwoods; Illinois,1
Roanoke; Virginia,1
Rockville; Maryland,1
Roseland; New Jersey,1
Rosemead; California,1
Rotterdam; Netherlands,1
Salt Lake City; UT,1
Salt Lake City; Utah,1
San Mateo; California,1
San Rafael; California,1
San Ramon; California,1
Sandy Springs; Georgia,1
Sarasota; Florida,1
Schaumburg; Illinois,1
Short Hills; New Jersey,1
Sparks; Maryland,1
Springdale; Arkansas,1
Springfield; Massachusetts,1
Springfield; Missouri,1
St Louis; Missouri,1
St. Louis; Missouri,1
Summit; New Jersey,1
Tarrytown; New York,1
Taylor; Michigan,1
Teaneck; New Jersey,1
Tempe; Arizona,1
The Woodlands; Texas,1
Thousand Oaks; California,1
Toledo; Ohio,1
Tulsa; Oklahoma[5],1
Tysons Corner; Virginia,1
Union; New Jersey,1
Vernier; Switzerland,1
Victor; New York,1
Voorhees; New Jersey,1
Wallingford; Connecticut,1
Warsaw; Indiana,1
Washington County; Oregon,1
Washington; D.C.,1
West Falls Church; Virginia,1
Westbrook; Maine,1
Weston; Massachusetts,1
White Plains; New York,1
Whitehouse Station; New Jersey,1
Wilmington; Delaware,1
Wilsonville; Oregon,1
Winona; Minnesota,1
Woburn; Massachusetts,1
Woonsocket; Rhode Island,1
Worsley; UK,1
York; Pennsylvania,1
Zurich; Switzerland,1
